"","F03","F05","F09","F14","L02","L03","L05","L06","L07","L13","L14","L15","L16","L18","L23","Lid10","Lid11","Lid12","Lid13","Lid14","Lid15","Lid16","Lid17","Lid18","Lid19","Lid1","Lid20","Lid2","Lid3","Lid4","Lid5","Lid6","Lid7","Lid8","Lid9","Skin10","Skin11","Skin12","Skin13","Skin14","Skin15","Skin16","Skin1","Skin2","Skin3","Skin4","Skin5","Skin6","Skin7","Skin8","Skin9","X10A","X11A","X12A","X13A","X15A","X16A","X17A","X18A","X19A","X1A","X20A","X21A","X22A","X23A","X24A","X25A","X26A","X27A","X28A","X29A","X2A","X30A","X31A","X32A","X33A","X34A","X35A","X36A","X37A","X38A","X39A","X3A","X40A","X41A","X42A","X43A","X44A","X45A","X4A","X5A","X6A","X7A","X8A","X9A"
"UNI289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,219,0,0,0,0,0,0,0,0,0,111,0,1,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,4,0,0,0,371
"UNI845",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,1,0,0,0,5,2,0,16,0,6,5,3,2,8,38,0,6,20,89,47,37,3,26,7,7,0,0,1,0,0,16,137,0,0,0,0,8,35,9,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,9,28,0,44,0,0,0,0,0,0,0,49,0
"UNI69",465,218,156,116,134,112,283,159,211,111,95,209,49,207,100,3,11,18,14,10,35,33,48,16,5,8,2,14,11,21,197,0,6,27,5,23,33,2,0,0,6,2,23,5,2,4,6,4,4,1,49,0,2,3,1,7,12,6,0,3,11,50,14,0,6,25,0,6,0,40,0,0,0,15,21,66,3,4,0,38,56,1,0,2,8,1,24,2,7,1,19,0,0,0,0
"UNI561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,5,59,13,24,161,16,25,0,20,15,0,0,0,0,0,15,0,0,0,2,0,0,0,14,0,0,49,28,92,1,0,0,10,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,52,0,18,0,0,0,0
"UNI225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,8,6,18,2,0,103,0,12,1,12,82,0,4,5,0,0,0,0,28,0,1,19,119,6,4,0,0,2,0,0,1,0,0,0,81,8,6,0,0,14,14,0,6,0,0,2,33,131,4,0,7,0,0,7,0
"UNI809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,0,0,0,212,2,0,0,0,0,60,0,0,0,0,0,0,0,0,0,5,3,0,0,127,0,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1,237,444,0,0,0,0,0,0
"UNI768",0,0,0,0,0,0,0,5,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,1,0,8,42,61,0,108,0,4,0,0,0,2,5,8,265,5,2,18,0,0,0,0,9,0,2,5,0,1,18,5,9,0,0,2,1,2,61,7,22,2,5,1,0,1,0
"UNI529",10,0,0,0,0,20,0,0,3,0,1,14,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,67,3,3,0,1,1,0,3,0,0,0,6,4,1,48,8,0,0,3,0,21,0,6,1,1,0,0,18,3,0,304,0,241,68,5,2,0,0,0,27,7,0,1,10
"UNI532",3,0,10,0,0,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,75,101,3,19,0,0,0,48,6,4,4,12,47,32,6,25,18,20,16,19,14,43,33,0,5,11,48,15,44,45,9,59,1,30,0,10,9,28,9,124,2,3
"UNI805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,12,18,3,1,2,3,97,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,69,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,307,9,22,0,9,1,0,0,0
